id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
843683310882492943,Condo in Bozeman · ★4.95 · 2 bedrooms · 3 beds · 2 baths,441896318,Payton,,Bozeman,45.67528,-111.11319,Entire home/apt,217,1,19,2023-07-30,3.90,11,335,19,
861573518014634933,Townhouse in Bozeman · 3 bedrooms · 4 beds · 3 baths,104010331,Dream MT,,Bozeman,45.683294,-111.07945,Entire home/apt,0,30,0,,,13,330,0,
30326352,Home in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 private bath,96363366,Jason,,Bozeman,45.68367,-111.04468,Private room,174,1,53,2023-08-02,2.85,1,332,18,
911796238839021625,Home in Bozeman · ★4.89 · 1 bedroom · 1 bed · 1 bath,296586159,Mikaela,,Bozeman,45.66567,-111.04033,Private room,61,1,9,2023-08-07,5.40,1,268,9,
6800497,Guesthouse in Bozeman · ★4.92 · 1 bedroom · 3 beds · 1 bath,16264310,Kent,,Bozeman,45.67712,-111.03485,Entire home/apt,211,2,319,2023-07-24,3.44,1,339,38,
53149809,Condo in Bozeman · ★4.94 · 1 bedroom · 1 bed · 1 bath,158595657,Mountain Home,,Bozeman,45.687916,-111.044533,Entire home/apt,260,1,16,2023-06-27,0.88,26,329,8,
708570967089315570,Townhouse in Bozeman · ★4.75 · 2 bedrooms · 2 beds · 1.5 baths,478100437,Rhonda,,Bozeman,45.71332,-111.07387,Entire home/apt,185,2,8,2023-08-04,0.77,1,65,8,
46377655,Home in Bozeman · ★4.98 · 3 bedrooms · 3 beds · 2 baths,169754903,VR Bozeman,,Bozeman,45.6781,-111.03002,Entire home/apt,353,1,63,2023-06-28,2.28,4,98,27,
53395300,Rental unit in Bozeman · ★4.17 · 1 bedroom · 1 bed · 1 bath,158595657,Mountain Home,,Bozeman,45.683842,-111.039383,Entire home/apt,245,1,18,2023-07-05,0.90,26,221,8,
16881888,Rental unit in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1 bath,7849959,Irene,,Bozeman,45.67817,-111.03371,Entire home/apt,100,30,5,2022-09-16,0.11,2,305,1,
51361417,Home in Bozeman · ★4.98 · 3 bedrooms · 5 beds · 2.5 baths,44712267,Emily,,Bozeman,45.68777,-111.05505,Entire home/apt,349,4,62,2023-08-06,2.54,1,64,29,
724711577396948826,Condo in Bozeman · ★4.92 · 1 bedroom · 2 beds · 1 bath,87338185,Carrie,,Bozeman,45.67707,-111.04608,Entire home/apt,268,2,13,2023-06-19,1.63,2,209,13,
53344108,Home in Bozeman · ★4.87 · 3 bedrooms · 4 beds · 1.5 baths,243371257,Travis,,Bozeman,45.68203,-111.05148,Entire home/apt,322,2,86,2023-07-23,4.15,1,35,39,
923076538132998326,Home in Bozeman · ★New · 3 bedrooms · 3 beds · 2 baths,21447984,Sharon,,Bozeman,45.6698914,-111.0442737,Entire home/apt,274,4,0,,,2,48,0,
731157846501234670,Guesthouse in Bozeman · 3 bedrooms · 3 beds · 3 baths,159312,Ryan,,Bozeman,45.687737583589794,-111.02902829206545,Private room,800,5,0,,,4,50,0,
48428210,Condo in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1 bath,205470126,Chris,,Bozeman,45.69539,-111.06816,Entire home/apt,86,30,21,2022-10-11,0.73,1,0,3,
891140402766442171,Home in Bozeman · 4 bedrooms · 4 beds · 3 baths,5226191,Harris,,Bozeman,45.68169,-111.02565,Entire home/apt,367,3,0,,,1,0,0,
553433994880561912,Vacation home in Bozeman · ★5.0 · 2 bedrooms · 2 beds · 2.5 baths,9851660,Tanya,,Bozeman,45.670395,-111.007668,Entire home/apt,454,2,4,2023-07-18,1.32,2,315,4,
27854265,Home in Bozeman · ★4.96 · 1 bedroom · 1 bed · 1 private bath,7722453,Rachel,,Bozeman,45.66062,-111.01597,Private room,150,6,23,2023-06-26,0.39,3,69,6,
954261720717469282,Home in Bozeman · ★New · 3 bedrooms · 4 beds · 3 baths,8224408,Paul,,Bozeman,45.674947,-111.032174,Entire home/apt,399,3,0,,,22,357,0,
802991824524320425,Home in Bozeman · 3 bedrooms · 3 beds · 2 baths,7485966,Ilona,,Bozeman,45.67867,-111.07575,Private room,70,30,1,2023-03-31,0.23,2,135,1,
573985742347874570,Home in Bozeman · ★4.83 · 1 bedroom · 1 bed · 1 shared bath,54402419,Kelley,,Bozeman,45.69542,-111.07464,Private room,125,2,6,2023-07-16,0.35,1,79,4,
52457187,Rental unit in Bozeman · ★5.0 · 1 bedroom · 1 bed · 1 bath,357080696,Cooper,,Bozeman,45.68765,-111.06442,Entire home/apt,215,28,9,2023-02-27,0.44,1,348,3,
779242618479987421,Condo in Bozeman · ★4.96 · 2 bedrooms · 4 beds · 2 baths,441896318,Payton,,Bozeman,45.66202,-111.06616,Entire home/apt,226,1,28,2023-08-01,3.57,11,332,28,
548783269779670430,Guesthouse in Bozeman · ★4.98 · 1 bedroom · 1 bed · 1 bath,109930487,Dave,,Bozeman,45.67235,-111.0466,Entire home/apt,203,1,138,2023-08-08,7.41,2,59,87,
670903809145917587,Condo in Bozeman · ★4.84 · 1 bedroom · 2 beds · 1 bath,122381278,Evolve,,Bozeman,45.67809,-111.04699,Entire home/apt,137,2,19,2023-07-23,1.54,12,339,18,
51127349,Guesthouse in Bozeman · ★4.96 · 1 bedroom · 1 bath,62778374,John,,Bozeman,45.68804,-111.03484,Entire home/apt,171,3,46,2023-07-27,1.84,1,69,16,
855046323928635372,Home in Bozeman · ★4.83 · 3 bedrooms · 4 beds · 2.5 baths,507016369,Kerry,,Bozeman,45.66002,-111.03318,Entire home/apt,350,4,6,2023-08-06,2.05,1,290,6,
52289413,Serviced apartment in Bozeman · ★4.96 · 3 bedrooms · 3 beds · 2 baths,193758323,Jill,,Bozeman,45.70275,-111.08729,Entire home/apt,400,3,25,2023-07-23,1.11,2,187,10,
17646492,Home in Bozeman · ★4.88 · 3 bedrooms · 4 beds · 2 baths,13339065,Amy,,Bozeman,45.66181945800781,-111.02143859863281,Entire home/apt,275,3,80,2023-07-22,1.05,1,59,12,
760721591626470539,Home in Bozeman · 2 bedrooms · 2 beds · 1 bath,81733702,Erin,,Bozeman,45.65812,-111.02008,Entire home/apt,146,29,0,,,1,303,0,
641334978923453922,Home in Bozeman · ★4.71 · 2 bedrooms · 3 beds · 1 bath,462293753,Yanfei,,Bozeman,45.67962,-111.04536,Entire home/apt,249,1,73,2023-08-08,5.14,2,325,60,
34544180,Rental unit in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,74678789,Kelly,,Bozeman,45.68174,-111.10066,Entire home/apt,159,2,159,2023-03-02,3.16,1,153,22,
4008507,Guest suite in Bozeman · ★4.99 · 1 bedroom · 2 beds · 1 bath,20738079,Lori,,Bozeman,45.66932,-111.04256,Entire home/apt,196,1,205,2023-08-04,2.06,1,305,46,
625945698382957503,Townhouse in Bozeman · ★5.0 · 3 bedrooms · 3 beds · 3.5 baths,158595657,Mountain Home,,Bozeman,45.683735,-111.041245,Entire home/apt,800,1,4,2023-08-06,0.30,26,333,3,
